,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
584,META250627P00350000,2025-03-06 11:10:00,350,0.02,0.00,0.00,0.00,0.00%,10.0,0.0,0.5,"Jun 27, 2025",2025-06-27,put,112,2025-03-06,long
587,META250627P00410000,2025-02-06 15:58:00,410,0.04,0.00,0.00,0.00,0.00%,1.0,0.0,0.5,"Jun 27, 2025",2025-06-27,put,140,2025-02-06,long
589,META250627P00420000,2025-04-06 11:14:00,420,0.05,0.00,0.00,0.00,0.00%,5.0,0.0,0.5,"Jun 27, 2025",2025-06-27,put,81,2025-04-06,long
597,META250627P00460000,2025-06-16 12:06:00,460,0.01,0.00,0.00,0.00,0.00%,2.0,0.0,0.5,"Jun 27, 2025",2025-06-27,put,10,2025-06-16,short
598,META250627P00465000,2025-06-16 13:47:00,465,0.01,0.00,0.00,0.00,0.00%,2.0,0.0,0.5,"Jun 27, 2025",2025-06-27,put,10,2025-06-16,short
599,META250627P00470000,2025-06-16 13:48:00,470,0.01,0.00,0.00,0.00,0.00%,3.0,0.0,0.5,"Jun 27, 2025",2025-06-27,put,10,2025-06-16,short
600,META250627P00475000,2025-06-17 13:25:00,475,0.02,0.00,0.00,0.00,0.00%,2.0,0.0,0.5,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
601,META250627P00480000,2025-06-16 09:30:00,480,0.05,0.00,0.00,0.00,0.00%,1.0,0.0,0.5,"Jun 27, 2025",2025-06-27,put,10,2025-06-16,short
602,META250627P00485000,2025-06-17 11:05:00,485,0.01,0.00,0.00,0.00,0.00%,4.0,0.0,0.5,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
603,META250627P00490000,2025-06-17 10:52:00,490,0.01,0.00,0.00,0.00,0.00%,4.0,0.0,0.5,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
604,META250627P00495000,2025-06-17 11:06:00,495,0.01,0.00,0.00,0.00,0.00%,6.0,0.0,0.5,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
605,META250627P00500000,2025-06-17 14:34:00,500,0.03,0.00,0.00,0.00,0.00%,7.0,0.0,0.5,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
606,META250627P00505000,2025-06-17 11:06:00,505,0.04,0.00,0.00,0.00,0.00%,5.0,0.0,0.5,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
607,META250627P00510000,2025-06-17 15:38:00,510,0.06,0.00,0.00,0.00,0.00%,7.0,0.0,0.5,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
608,META250627P00515000,2025-06-17 11:10:00,515,0.04,0.00,0.00,0.00,0.00%,1.0,0.0,0.25,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
609,META250627P00520000,2025-06-17 12:00:00,520,0.03,0.00,0.00,0.00,0.00%,10.0,0.0,0.25,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
610,META250627P00525000,2025-06-17 15:57:00,525,0.07,0.00,0.00,0.00,0.00%,4.0,0.0,0.25,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
611,META250627P00530000,2025-06-17 12:19:00,530,0.07,0.00,0.00,0.00,0.00%,8.0,0.0,0.25,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
612,META250627P00535000,2025-06-17 13:27:00,535,0.06,0.00,0.00,0.00,0.00%,9.0,0.0,0.25,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
613,META250627P00540000,2025-06-17 13:45:00,540,0.07,0.00,0.00,0.00,0.00%,24.0,0.0,0.25,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
614,META250627P00545000,2025-06-17 13:01:00,545,0.10,0.00,0.00,0.00,0.00%,12.0,0.0,0.25,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
615,META250627P00550000,2025-06-17 14:05:00,550,0.13,0.00,0.00,0.00,0.00%,11.0,0.0,0.25,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
