,date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio
75,2020-08-13,MSFT,1579369167534.0,1513840167534.0,,,,,
74,2020-08-19,MSFT,1586936820469.0,1521407820469.0,,,,,
73,2020-08-31,MSFT,1706732766430.0,1641238766430.0,39.155,34.483,2.684,12.116,14.427
72,2020-09-11,MSFT,1544028228328.0,1478499228328.0,,,,,
71,2020-09-23,MSFT,1517995502231.0,1452466502231.0,,,,,
70,2020-09-24,MSFT,1537671399862.0,1472142399862.0,,,,,
69,2020-09-30,MSFT,1590936120000.0,1525442120000.0,36.516,32.154,2.504,11.299,13.448
68,2020-10-09,MSFT,1633175179902.0,1567646179902.0,,,,,
67,2020-10-28,MSFT,1532361322996.0,1465689322996.0,,,,,
66,2020-10-31,MSFT,1530773618843.0,1464101618843.0,32.656,30.769,2.398,10.549,12.406
65,2020-11-04,MSFT,1636015722731.0,1569343722731.0,,,,,
64,2020-11-30,MSFT,1618475372083.0,1551803372083.0,34.527,32.051,2.5,11.153,13.117
63,2020-12-03,MSFT,1619760656398.0,1553088656398.0,,,,,
62,2020-12-14,MSFT,1619458236559.0,1552786236559.0,,,,,
61,2020-12-21,MSFT,1682890797739.0,1616218797739.0,,,,,
60,2020-12-31,MSFT,1678381320000.0,1611709320000.0,35.874,33.003,2.571,11.588,13.602
59,2021-01-08,MSFT,1660436124711.0,1593764124711.0,,,,,
58,2021-01-15,MSFT,1607739467807.0,1541067467807.0,,,,,
57,2021-01-26,MSFT,1756530028477.0,1689858028477.0,,,,,
56,2021-01-31,MSFT,1749492369313.0,1686922369313.0,34.569,31.646,2.349,11.57,13.433
55,2021-02-28,MSFT,1752660099935.0,1690090099935.0,34.632,31.746,2.354,11.591,13.458
54,2021-03-02,MSFT,1763898001428.0,1701328001428.0,,,,,
53,2021-03-05,MSFT,1746777171637.0,1684207171637.0,,,,,
52,2021-03-31,MSFT,1776291180000.0,1713721180000.0,35.137,29.24,2.172,11.761,13.639
51,2021-04-30,MSFT,1899312470271.0,1841629470271.0,34.357,30.303,2.466,12.022,14.121
50,2021-05-31,MSFT,1880483533893.0,1822800533893.0,34.016,30.03,2.439,11.903,13.981
49,2021-06-30,MSFT,2036897100000.0,1979214100000.0,36.907,32.573,2.647,12.914,15.144
48,2021-07-31,MSFT,2141067665467.0,2078586665467.0,35.393,32.468,2.651,12.896,15.079
47,2021-08-31,MSFT,2268595369946.0,2206114369946.0,37.501,33.898,2.795,13.664,15.977
46,2021-09-30,MSFT,2117219200000.0,2054738200000.0,35.021,31.546,2.604,12.76,14.911
45,2021-10-31,MSFT,2489796474839.0,2422550474839.0,37.094,36.496,2.836,14.282,16.383
44,2021-11-30,MSFT,2482063254981.0,2414817254981.0,36.979,36.232,2.81,14.237,16.332
43,2021-12-31,MSFT,2522400000000.0,2455154000000.0,37.62,36.9,2.872,14.484,16.597
42,2022-01-31,MSFT,2331375521779.0,2270059521779.0,33.118,34.13,2.539,12.74,14.57
41,2022-02-28,MSFT,2239988720022.0,2178672720022.0,31.82,32.68,2.428,12.241,13.999
40,2022-03-31,MSFT,2307083730000.0,2245767730000.0,32.834,28.571,2.121,12.631,14.418
39,2022-04-30,MSFT,2075581275625.0,2032204275625.0,28.969,25.773,1.906,10.895,12.74
38,2022-05-31,MSFT,2033324738412.0,1989947738412.0,28.379,25.189,1.833,10.673,12.48
37,2022-06-30,MSFT,1916979120000.0,1873602120000.0,26.809,23.81,1.731,10.082,11.766
36,2022-07-31,MSFT,2093728564145.0,2050249564145.0,29.092,27.933,2.091,10.676,12.572
35,2022-08-31,MSFT,1950014987771.0,1906535987771.0,27.095,25.907,1.941,9.943,11.709
34,2022-09-02,MSFT,1909667792744.0,1866188792744.0,,,,,
33,2022-09-30,MSFT,1736735300000.0,1693256300000.0,24.135,23.095,1.727,8.857,10.428
32,2022-10-31,MSFT,1730406850916.0,1683444850916.0,24.987,24.331,2.049,8.595,9.97
31,2022-11-30,MSFT,1901934277960.0,1854972277960.0,27.464,26.81,2.256,9.447,10.958
30,2022-12-31,MSFT,1787731749394.0,1740769749394.0,25.815,25.189,2.121,8.88,10.29
29,2023-01-31,MSFT,1844648953512.0,1805267953512.0,27.534,26.455,2.15,9.105,10.073
28,2023-02-28,MSFT,1856633477200.0,1817252477200.0,27.713,26.667,2.167,9.164,10.138
27,2023-03-31,MSFT,2144087100000.0,2104706100000.0,32.033,26.667,2.167,10.593,11.708
26,2023-04-30,MSFT,2284627912294.0,2240730912294.0,33.289,28.09,2.283,11.074,11.735
25,2023-05-31,MSFT,2441739764754.0,2397842764754.0,35.579,29.674,2.413,11.835,12.542
24,2023-06-30,MSFT,2530893280000.0,2486996280000.0,36.895,30.864,2.508,12.273,13.0
23,2023-07-31,MSFT,2495806229494.0,2444515229494.0,34.702,30.303,2.467,11.844,12.102
22,2023-08-31,MSFT,2435179357522.0,2383888357522.0,33.86,29.499,2.4,11.557,11.808
21,2023-09-30,MSFT,2345716410687.0,2294425410687.0,32.619,28.653,2.332,11.133,11.378
20,2023-10-31,MSFT,2512922216058.0,2453966216058.0,32.763,30.395,2.341,11.563,11.385
19,2023-11-30,MSFT,2816158519081.0,2757202519081.0,36.716,34.364,2.293,12.959,12.759
18,2023-12-31,MSFT,2794827926197.0,2735871926197.0,36.438,33.67,2.243,12.861,12.662
17,2024-01-31,MSFT,2954192835925.0,2961584835925.0,35.948,35.971,2.402,13.041,12.399
16,2024-02-29,MSFT,3073525641763.0,3080917641763.0,37.4,35.461,2.402,13.568,12.899
15,2024-03-31,MSFT,3126133130264.0,3133525130264.0,38.04,31.546,2.134,13.8,13.124
14,2024-04-30,MSFT,2893619614778.0,2893517614778.0,33.737,29.155,1.927,12.288,11.43
13,2024-05-31,MSFT,3085373104263.0,3085271104263.0,35.973,30.96,2.047,13.102,12.188
12,2024-06-30,MSFT,3321869074628.0,3321767074628.0,38.731,33.333,2.204,14.106,13.125
11,2024-07-31,MSFT,3109611606691.0,3101207606691.0,35.453,31.25,2.063,12.747,11.582
10,2024-08-31,MSFT,3100617630250.0,3092213630250.0,35.351,31.447,2.25,12.71,11.549
9,2024-09-30,MSFT,3199710800000.0,3191306800000.0,36.466,32.573,2.326,13.111,11.918
8,2024-10-31,MSFT,3021163803327.0,3004212803327.0,33.555,30.864,2.207,11.943,10.5
7,2024-11-30,MSFT,3148374613404.0,3131423613404.0,34.968,32.154,2.243,12.446,10.942
6,2024-12-31,MSFT,3133960800210.0,3117009800210.0,34.806,32.051,2.213,12.388,10.892
