date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio
02/28/2021,AMZN,"1,557,593,312,653","1,557,586,312,653",73.94,60.241,1.468,4.086,16.676,,
02/19/2021,AMZN,"1,636,535,058,275","1,636,528,058,275",,,,,,,
02/12/2021,AMZN,"1,650,539,193,778","1,650,532,193,778",,,,,,,
02/03/2021,AMZN,"1,668,073,318,129","1,668,066,318,129",,,,,,,
01/31/2021,AMZN,"1,614,529,279,006","1,627,645,279,006",93.749,58.14,1.188,4.686,19.505,,
01/22/2021,AMZN,"1,651,880,297,208","1,664,996,297,208",,,,,,,
01/08/2021,AMZN,"1,596,923,490,134","1,610,039,490,134",,,,,,,
12/31/2020,AMZN,"1,638,235,790,000","1,651,351,790,000",95.232,61.35,1.259,4.76,19.791,,
11/30/2020,AMZN,"1,589,567,817,791","1,602,683,817,791",92.633,59.88,1.225,4.63,19.203,,
11/20/2020,AMZN,"1,555,127,616,590","1,568,243,616,590",,,,,,,
11/13/2020,AMZN,"1,569,884,118,882","1,583,000,118,882",,,,,,,
10/31/2020,AMZN,"1,523,391,854,265","1,536,507,854,265",88.776,56.818,1.168,4.437,18.404,,
10/28/2020,AMZN,"1,584,203,770,389","1,588,738,770,389",,,,,,,
10/22/2020,AMZN,"1,591,025,887,436","1,595,560,887,436",,,,,,,
10/08/2020,AMZN,"1,598,113,475,998","1,602,648,475,998",,,,,,,
09/30/2020,AMZN,"1,580,662,460,000","1,585,197,460,000",121.012,60.241,1.236,4.956,21.439,,
09/24/2020,AMZN,"1,512,581,559,193","1,517,116,559,193",,,,,,,
09/10/2020,AMZN,"1,590,379,739,786","1,594,914,739,786",,,,,,,
08/31/2020,AMZN,"1,728,550,150,014","1,733,085,150,014",132.627,116.279,2.382,5.432,23.445,,
08/27/2020,AMZN,"1,703,024,813,400","1,707,559,813,400",,,,,,,
08/10/2020,AMZN,"1,576,880,763,692","1,581,415,763,692",,,,,,,
07/31/2020,AMZN,"1,585,155,460,726","1,589,690,460,726",121.625,125,2.557,4.981,21.5,,
07/28/2020,AMZN,"1,496,492,692,090","1,510,937,692,090",,,,,,,
07/16/2020,AMZN,"1,496,278,218,396","1,510,723,218,396",,,,,,,
06/30/2020,AMZN,"1,382,168,820,000","1,396,613,820,000",131.812,128.205,2.972,4.702,21.176,,
05/31/2020,AMZN,"1,218,195,617,275","1,232,640,617,275",116.692,98.039,2.273,4.163,18.663,,
05/08/2020,AMZN,"1,186,892,433,507","1,201,337,433,507",,,,,,,
