date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio
06/30/2014,MSFT,"343,566,300,000","277,820,300,000",15.618,13.812,1.627,4.215,3.93,,
05/31/2014,MSFT,"338,181,265,928","272,435,265,928",15.333,13.569,1.598,4.138,3.868,,
04/30/2014,MSFT,"333,720,643,466","267,974,643,466",15.131,13.405,1.154,4.083,3.817,,
03/31/2014,MSFT,"338,577,400,000","277,609,400,000",15.181,13.624,1.227,4.147,3.979,,
02/28/2014,MSFT,"318,000,725,904","257,032,725,904",14.189,12.707,1.145,3.876,3.737,,
01/31/2014,MSFT,"314,099,385,754","253,131,385,754",14.015,12.469,1.123,3.829,3.691,,
12/31/2013,MSFT,"310,503,000,000","245,763,000,000",14.011,13.333,1.248,3.936,3.803,,
11/30/2013,MSFT,"318,308,033,109","253,568,033,109",14.281,13.736,1.287,4.011,3.899,,
10/31/2013,MSFT,"295,559,819,360","230,819,819,360",13.26,12.658,0.988,3.725,3.62,,
09/30/2013,MSFT,"277,754,880,000","216,332,880,000",12.899,11.793,1.127,3.621,3.518,,
08/31/2013,MSFT,"278,220,543,826","216,798,543,826",12.946,11.299,1.081,3.634,3.524,,
07/31/2013,MSFT,"265,225,811,839","203,803,811,839",12.341,11.025,1.055,3.464,3.36,,
06/30/2013,MSFT,"288,488,977,151","228,200,977,151",17.807,11.001,1.595,3.855,3.751,,
05/31/2013,MSFT,"291,453,619,991","231,165,619,991",17.99,11.124,1.419,3.895,3.801,,
04/30/2013,MSFT,"276,421,628,129","216,133,628,129",17.062,10.549,1.346,3.694,3.604,,
03/31/2013,MSFT,"239,602,485,650","185,478,485,650",15.717,8.985,1.146,3.335,3.291,,
02/28/2013,MSFT,"232,859,608,498","178,735,608,498",15.275,8.628,1.101,3.241,3.208,,
01/31/2013,MSFT,"229,927,922,779","175,803,922,779",15.082,8.475,1.329,3.2,3.168,,
12/31/2012,MSFT,"223,667,027,800","169,543,027,800",14.676,8.15,1.112,3.114,3.082,,
11/30/2012,MSFT,"224,004,149,197","169,310,149,197",14.386,8.244,1.864,3.129,3.254,,
10/31/2012,MSFT,"240,205,839,493","185,511,839,493",15.427,8.532,1.931,3.355,3.49,,
09/30/2012,MSFT,"250,904,570,722","199,808,570,722",14.88,9.042,5.515,3.434,3.777,,
08/31/2012,MSFT,"258,376,282,441","207,280,282,441",15.41,9.251,5.641,3.556,3.893,,
07/31/2012,MSFT,"247,058,697,065","195,962,697,065",14.735,8.818,1.47,3.4,3.723,,
06/30/2012,MSFT,"256,982,494,090","209,391,494,090",11.205,10.111,1.685,3.566,3.734,,
