,date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio
76,2020-07-31,AMZN,1585155460726.0,1589690460726.0,121.625,125.0,2.557,4.981,21.5
75,2020-08-10,AMZN,1576880763692.0,1581415763692.0,,,,,
74,2020-08-27,AMZN,1703024813400.0,1707559813400.0,,,,,
73,2020-08-31,AMZN,1728550150014.0,1733085150014.0,132.627,116.279,2.382,5.432,23.445
72,2020-09-10,AMZN,1590379739786.0,1594914739786.0,,,,,
71,2020-09-24,AMZN,1512581559193.0,1517116559193.0,,,,,
70,2020-09-30,AMZN,1580662460000.0,1585197460000.0,121.012,60.241,1.236,4.956,21.439
69,2020-10-08,AMZN,1598113475998.0,1602648475998.0,,,,,
68,2020-10-22,AMZN,1591025887436.0,1595560887436.0,,,,,
67,2020-10-28,AMZN,1584203770389.0,1588738770389.0,,,,,
66,2020-10-31,AMZN,1523391854265.0,1536507854265.0,88.776,56.818,1.168,4.437,18.404
65,2020-11-13,AMZN,1569884118882.0,1583000118882.0,,,,,
64,2020-11-20,AMZN,1555127616590.0,1568243616590.0,,,,,
63,2020-11-30,AMZN,1589567817791.0,1602683817791.0,92.633,59.88,1.225,4.63,19.203
62,2020-12-31,AMZN,1638235790000.0,1651351790000.0,95.232,61.35,1.259,4.76,19.791
61,2021-01-08,AMZN,1596923490134.0,1610039490134.0,,,,,
60,2021-01-22,AMZN,1651880297208.0,1664996297208.0,,,,,
59,2021-01-31,AMZN,1614529279006.0,1627645279006.0,93.749,58.14,1.188,4.686,19.505
58,2021-02-03,AMZN,1668073318129.0,1668066318129.0,,,,,
57,2021-02-12,AMZN,1650539193778.0,1650532193778.0,,,,,
56,2021-02-19,AMZN,1636535058275.0,1636528058275.0,,,,,
55,2021-02-28,AMZN,1557593312653.0,1557586312653.0,73.94,60.241,1.468,4.086,16.676
54,2021-03-03,AMZN,1513212052715.0,1513205052715.0,,,,,
53,2021-03-05,AMZN,1510925868781.0,1510918868781.0,,,,,
52,2021-03-17,AMZN,1579043071567.0,1579036071567.0,,,,,
51,2021-03-31,AMZN,1559416320000.0,1559409320000.0,73.968,60.241,1.468,4.087,16.682
50,2021-04-30,AMZN,1748702208681.0,1760367208681.0,65.908,62.112,1.496,4.234,16.925
49,2021-05-31,AMZN,1625470703789.0,1637135703789.0,61.263,53.763,1.3,3.935,15.732
48,2021-06-30,AMZN,1740720960000.0,1752385960000.0,65.39,57.471,1.387,4.2,16.848
47,2021-07-31,AMZN,1685226409946.0,1701908409946.0,57.942,59.172,1.844,3.851,14.679
46,2021-08-31,AMZN,1757748692410.0,1774430692410.0,60.435,60.976,1.908,4.017,15.311
45,2021-09-30,AMZN,1665515280000.0,1682197280000.0,57.201,45.455,1.417,3.802,14.508
44,2021-10-31,AMZN,1710319848116.0,1745234848116.0,65.958,50.505,2.855,3.783,14.186
43,2021-11-30,AMZN,1778602203673.0,1813517203673.0,68.591,54.645,2.088,3.934,14.752
42,2021-12-31,AMZN,1697179060000.0,1732094060000.0,65.213,52.083,1.985,3.74,14.077
41,2022-01-31,AMZN,1522192787182.0,1557107787182.0,58.507,46.729,1.781,3.356,12.626
40,2022-02-28,AMZN,1562115293165.0,1582461293165.0,47.389,52.91,2.741,3.367,11.3
39,2022-03-31,AMZN,1659314550000.0,1679660550000.0,50.3,57.143,2.963,3.573,12.003
38,2022-04-30,AMZN,1264490889188.0,1311392889188.0,59.952,44.643,2.81,2.674,9.436
37,2022-05-31,AMZN,1223060693215.0,1269962693215.0,57.988,53.476,3.357,2.587,9.127
36,2022-06-30,AMZN,1081536430000.0,1128438430000.0,51.235,64.103,4.006,2.285,8.071
35,2022-07-31,AMZN,1374810522689.0,1438677522689.0,121.522,81.301,7.756,2.846,10.463
34,2022-08-31,AMZN,1291476324277.0,1355343324277.0,114.156,88.496,8.466,2.674,9.828
33,2022-09-30,AMZN,1152374000000.0,1216241000000.0,101.756,46.948,4.5,2.383,8.77
32,2022-10-31,AMZN,1045057453789.0,1114646453789.0,93.085,43.86,4.941,2.084,7.601
31,2022-11-30,AMZN,984867694151.0,1054456694151.0,87.724,47.619,5.368,1.964,7.163
30,2022-12-31,AMZN,856938950784.0,926527950784.0,76.329,41.322,4.67,1.709,6.257
29,2023-01-31,AMZN,1056799898739.0,1126388898739.0,93.712,59.88,6.767,2.098,7.686
28,2023-02-28,AMZN,966213149462.0,1036305149462.0,,57.804,3.608,1.868,6.616
27,2023-03-31,AMZN,1059548820000.0,1129640820000.0,,62.112,3.877,2.048,7.255
26,2023-04-30,AMZN,1081954296399.0,1158900296399.0,251.071,62.112,2.245,2.056,7.002
25,2023-05-31,AMZN,1237193447699.0,1314139447699.0,287.095,68.493,4.282,2.351,8.006
24,2023-06-30,AMZN,1344402680000.0,1421348680000.0,310.381,82.645,5.157,2.541,8.7
23,2023-07-31,AMZN,1379276926409.0,1456222926409.0,318.286,83.333,5.222,2.606,8.926
22,2023-08-31,AMZN,1423952787355.0,1498896787355.0,109.532,62.5,3.903,2.642,8.446
21,2023-09-30,AMZN,1311592481187.0,1386536481187.0,100.889,40.486,2.53,2.434,7.788
20,2023-10-31,AMZN,1375356130690.0,1448176130690.0,69.681,38.462,2.401,2.497,7.517
19,2023-11-30,AMZN,1509698528308.0,1582518528308.0,76.487,41.322,2.579,2.741,8.251
