,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
300,SPY250618P00505000,2025-06-17 15:54:00,505,0.01,0.01,0.00,0.00,0.00%,115.0,0.0,0.9843999999999999,"Jun 18, 2025",2025-06-18,put,0,2025-06-17,short
301,SPY250618P00510000,2025-06-17 16:14:00,510,0.01,0.00,0.00,0.00,0.00%,876.0,0.0,0.5,"Jun 18, 2025",2025-06-18,put,0,2025-06-17,short
302,SPY250618P00515000,2025-06-17 16:09:00,515,0.01,0.00,0.00,0.00,0.00%,825.0,0.0,0.5,"Jun 18, 2025",2025-06-18,put,0,2025-06-17,short
303,SPY250618P00520000,2025-06-17 14:49:00,520,0.02,0.00,0.00,0.00,0.00%,452.0,0.0,0.5,"Jun 18, 2025",2025-06-18,put,0,2025-06-17,short
304,SPY250618P00525000,2025-06-17 14:42:00,525,0.02,0.00,0.00,0.00,0.00%,325.0,0.0,0.5,"Jun 18, 2025",2025-06-18,put,0,2025-06-17,short
305,SPY250618P00530000,2025-06-17 15:51:00,530,0.02,0.00,0.00,0.00,0.00%,163.0,0.0,0.5,"Jun 18, 2025",2025-06-18,put,0,2025-06-17,short
306,SPY250618P00535000,2025-06-17 15:59:00,535,0.02,0.00,0.00,0.00,0.00%,1.125,0.0,0.5,"Jun 18, 2025",2025-06-18,put,0,2025-06-17,short
307,SPY250618P00540000,2025-06-17 16:14:00,540,0.02,0.00,0.00,0.00,0.00%,448.0,0.0,0.5,"Jun 18, 2025",2025-06-18,put,0,2025-06-17,short
308,SPY250618P00545000,2025-06-17 16:00:00,545,0.02,0.00,0.00,0.00,0.00%,851.0,0.0,0.5,"Jun 18, 2025",2025-06-18,put,0,2025-06-17,short
309,SPY250618P00550000,2025-06-17 16:11:00,550,0.02,0.00,0.00,0.00,0.00%,453.0,0.0,0.25,"Jun 18, 2025",2025-06-18,put,0,2025-06-17,short
310,SPY250618P00551000,2025-06-17 16:13:00,551,0.03,0.00,0.00,0.00,0.00%,707.0,0.0,0.25,"Jun 18, 2025",2025-06-18,put,0,2025-06-17,short
311,SPY250618P00552000,2025-06-17 15:55:00,552,0.03,0.00,0.00,0.00,0.00%,219.0,0.0,0.25,"Jun 18, 2025",2025-06-18,put,0,2025-06-17,short
312,SPY250618P00553000,2025-06-17 15:32:00,553,0.03,0.00,0.00,0.00,0.00%,215.0,0.0,0.25,"Jun 18, 2025",2025-06-18,put,0,2025-06-17,short
313,SPY250618P00554000,2025-06-17 15:59:00,554,0.03,0.00,0.00,0.00,0.00%,49.0,0.0,0.25,"Jun 18, 2025",2025-06-18,put,0,2025-06-17,short
314,SPY250618P00555000,2025-06-17 16:01:00,555,0.03,0.00,0.00,0.00,0.00%,1.319,0.0,0.25,"Jun 18, 2025",2025-06-18,put,0,2025-06-17,short
315,SPY250618P00556000,2025-06-17 16:10:00,556,0.03,0.00,0.00,0.00,0.00%,73.0,0.0,0.25,"Jun 18, 2025",2025-06-18,put,0,2025-06-17,short
316,SPY250618P00557000,2025-06-17 16:08:00,557,0.03,0.00,0.00,0.00,0.00%,2.63,0.0,0.25,"Jun 18, 2025",2025-06-18,put,0,2025-06-17,short
317,SPY250618P00558000,2025-06-17 15:58:00,558,0.03,0.00,0.00,0.00,0.00%,52.0,0.0,0.25,"Jun 18, 2025",2025-06-18,put,0,2025-06-17,short
318,SPY250618P00559000,2025-06-17 16:12:00,559,0.04,0.00,0.00,0.00,0.00%,116.0,0.0,0.25,"Jun 18, 2025",2025-06-18,put,0,2025-06-17,short
