,date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio
105,2018-05-31,AAPL,918491838060.0,952391838060.0,18.003,16.313,1.255,3.898,7.239
104,2018-06-30,AAPL,909841195180.0,943741195180.0,17.833,14.43,1.11,3.861,7.066
103,2018-07-31,AAPL,919086618540.0,962716618540.0,17.205,14.815,1.15,3.79,7.996
102,2018-08-31,AAPL,1099436055380.0,1143066055380.0,20.581,17.007,1.308,4.534,9.565
101,2018-09-30,AAPL,1090307495240.0,1133937495240.0,20.41,16.695,1.285,4.496,9.338
100,2018-10-31,AAPL,1038577806280.0,1082207806280.0,19.788,16.077,1.237,4.359,9.035
99,2018-11-30,AAPL,847433174840.0,895615174840.0,14.994,13.68,1.415,3.362,7.909
98,2018-12-31,AAPL,746079125220.0,794261125220.0,13.244,12.077,1.25,2.97,6.963
97,2019-01-31,AAPL,784811203200.0,813114203200.0,13.643,14.514,1.595,3.12,6.657
96,2019-02-28,AAPL,816450732000.0,844753732000.0,14.193,15.106,1.66,3.246,6.925
95,2019-03-31,AAPL,895667436000.0,923970436000.0,15.57,16.584,1.821,3.561,7.423
94,2019-04-30,AAPL,923297720250.0,955835720250.0,16.807,17.606,1.934,3.736,8.722
93,2019-05-31,AAPL,805510200250.0,838048200250.0,14.662,15.432,1.705,3.259,7.609
92,2019-06-30,AAPL,910644764000.0,943182764000.0,16.576,15.974,1.45,3.684,8.472
91,2019-07-31,AAPL,962766107200.0,976570107200.0,18.085,16.556,1.541,3.891,9.981
90,2019-08-31,AAPL,943333633200.0,957137633200.0,17.72,16.103,1.499,3.812,9.78
89,2019-09-30,AAPL,995151566920.0,1008955566920.0,19.013,17.271,2.036,4.09,10.317
88,2019-10-31,AAPL,1105306601400.0,1112796601400.0,20.922,18.975,1.708,4.445,12.215
87,2019-11-30,AAPL,1187462571250.0,1194952571250.0,22.477,20.202,1.847,4.775,13.123
86,2019-12-31,AAPL,1287643210350.0,1295133210350.0,24.697,22.173,2.029,5.247,14.23
85,2020-01-31,AAPL,1354254814800.0,1363843814800.0,24.371,22.573,1.814,5.283,15.126
84,2020-02-29,AAPL,1196081212800.0,1205670212800.0,21.524,20.576,1.656,4.666,13.359
83,2020-03-31,AAPL,1099546654230.0,1109135654230.0,20.023,19.646,1.58,4.341,12.281
82,2020-04-30,AAPL,1273427623000.0,1288883623000.0,22.971,24.691,1.984,4.928,16.238
81,2020-05-08,AAPL,1344207313550.0,1359663313550.0,,,,,
80,2020-05-28,AAPL,1379402113750.0,1394858113750.0,,,,,
79,2020-05-31,AAPL,1378058469900.0,1402768469900.0,24.858,26.81,2.226,5.333,17.572
78,2020-06-12,AAPL,1468472698000.0,1483928698000.0,,,,,
77,2020-06-30,AAPL,1562780947200.0,1587490947200.0,28.522,24.331,2.023,6.119,19.927
76,2020-07-14,AAPL,1682718877050.0,1698174877050.0,,,,,
75,2020-07-16,AAPL,1673443400150.0,1688899400150.0,,,,,
74,2020-07-31,AAPL,1817315475360.0,1846476475360.0,32.224,26.81,2.135,6.881,25.142
73,2020-08-03,AAPL,1863107515500.0,1882805515500.0,,,,,
72,2020-08-06,AAPL,1948021606740.0,1967719606740.0,,,,,
71,2020-08-14,AAPL,1965209655420.0,1984907655420.0,,,,,
70,2020-08-27,AAPL,2137988025360.0,2157686025360.0,,,,,
69,2020-08-31,AAPL,2206911245440.0,2236072245440.0,39.133,8.224,0.655,8.356,30.532
68,2020-09-29,AAPL,1951228332240.0,1970926332240.0,,,,,
67,2020-09-30,AAPL,1966078923030.0,1995239923030.0,35.121,30.121,2.859,7.5,27.2
66,2020-10-15,AAPL,2064447120560.0,2084145120560.0,,,,,
65,2020-10-22,AAPL,1979618542000.0,1999316542000.0,,,,,
64,2020-10-28,AAPL,1901802003200.0,1921500003200.0,,,,,
63,2020-10-31,AAPL,1850816165720.0,1882151165720.0,33.189,28.249,2.688,6.951,28.326
62,2020-11-25,AAPL,1972719086060.0,1994212086060.0,,,,,
61,2020-11-30,AAPL,2024064528100.0,2055399528100.0,36.296,30.03,2.987,7.602,30.978
60,2020-12-01,AAPL,2086461141440.0,2107954141440.0,,,,,
59,2020-12-22,AAPL,2242197647760.0,2263690647760.0,,,,,
58,2020-12-31,AAPL,2232278767470.0,2263613767470.0,40.454,33.445,3.329,8.472,34.165
57,2021-01-31,AAPL,2215357148160.0,2250574148160.0,35.569,31.646,3.082,7.785,33.452
56,2021-02-03,AAPL,2248597578240.0,2283814578240.0,,,,,
55,2021-02-10,AAPL,2272940317440.0,2308157317440.0,,,,,
54,2021-02-28,AAPL,2035724520960.0,2070941520960.0,32.685,28.329,2.687,7.154,30.74
53,2021-03-03,AAPL,2049154997760.0,2084371997760.0,,,,,
52,2021-03-17,AAPL,2094482856960.0,2129699856960.0,,,,,
51,2021-03-31,AAPL,2038232155750.0,2073449155750.0,32.925,28.49,2.707,7.206,30.778
50,2021-04-30,AAPL,2193755971260.0,2245566971260.0,29.409,28.818,2.373,6.94,31.712
49,2021-05-31,AAPL,2079445698910.0,2131256698910.0,27.877,24.631,2.03,6.579,30.059
48,2021-06-30,AAPL,2267638776320.0,2319449776320.0,30.64,25.773,2.122,7.231,32.78
47,2021-07-31,AAPL,2411090012760.0,2471185012760.0,28.488,26.178,1.998,7.151,37.509
46,2021-08-31,AAPL,2509775103780.0,2569870103780.0,29.654,27.248,2.08,7.444,39.044
45,2021-09-30,AAPL,2324390219000.0,2384485219000.0,27.637,25.381,1.938,6.937,36.16
44,2021-10-31,AAPL,2457678270600.0,2531561270600.0,26.702,26.738,2.038,6.906,38.955
43,2021-11-30,AAPL,2711977424100.0,2785860424100.0,29.465,29.586,3.548,7.621,42.986
42,2021-12-31,AAPL,2901644912070.0,2975527912070.0,31.652,31.646,3.791,8.186,45.992
41,2022-01-31,AAPL,2852311897980.0,2911196897980.0,28.985,29.24,3.395,7.723,39.653
40,2022-02-28,AAPL,2694666097920.0,2753551097920.0,27.383,27.624,3.207,7.296,37.461
39,2022-03-31,AAPL,2830003448480.0,2888888448480.0,28.957,29.07,3.374,7.715,39.343
38,2022-04-30,AAPL,2551593784650.0,2620063784650.0,25.634,25.84,2.853,6.773,37.858
37,2022-05-31,AAPL,2409002340040.0,2477472340040.0,24.202,24.45,2.698,6.395,35.742
36,2022-06-30,AAPL,2200560080160.0,2269030080160.0,22.231,21.552,2.377,5.874,32.65
35,2022-07-31,AAPL,2611657907520.0,2683117907520.0,26.861,25.445,2.812,6.9,44.946
34,2022-08-31,AAPL,2526643629440.0,2598103629440.0,25.987,24.814,2.812,6.676,43.483
33,2022-09-30,AAPL,2203381335000.0,2274841335000.0,22.843,21.834,2.473,5.868,37.919
