,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
202,AAPL250627C00260000,2025-06-17 10:57:00,260,0.01,0.00,0.00,0.00,0.00%,2.0,0.0,0.25,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
207,AAPL250627C00285000,2025-05-28 11:28:00,285,0.02,0.00,0.00,0.00,0.00%,1.0,0.0,0.5,"Jun 27, 2025",2025-06-27,call,29,2025-05-28,medium
208,AAPL250627C00290000,2025-05-27 15:52:00,290,0.03,0.00,0.00,0.00,0.00%,1.0,0.0,0.5,"Jun 27, 2025",2025-06-27,call,30,2025-05-27,medium
209,AAPL250627C00295000,2025-05-29 10:33:00,295,0.01,0.00,0.00,0.00,0.00%,2.0,0.0,0.5,"Jun 27, 2025",2025-06-27,call,28,2025-05-29,medium
210,AAPL250627C00300000,2025-05-29 13:04:00,300,0.01,0.00,0.00,0.00,0.00%,1.0,0.0,0.5,"Jun 27, 2025",2025-06-27,call,28,2025-05-29,medium
211,AAPL250627C00305000,2025-06-16 14:19:00,305,0.01,-,0.00,0.00,0.00%,,0.0,0.5,"Jun 27, 2025",2025-06-27,call,10,2025-06-16,short
212,AAPL250627C00310000,2025-06-16 13:54:00,310,0.01,0.00,0.00,0.00,0.00%,2.0,0.0,0.5,"Jun 27, 2025",2025-06-27,call,10,2025-06-16,short
213,AAPL250627C00315000,2025-05-29 11:58:00,315,0.01,0.00,0.00,0.00,0.00%,2.0,0.0,0.5,"Jun 27, 2025",2025-06-27,call,28,2025-05-29,medium
214,AAPL250627C00325000,2025-05-29 09:30:00,325,0.02,0.00,0.00,0.00,0.00%,6.0,0.0,0.5,"Jun 27, 2025",2025-06-27,call,28,2025-05-29,medium
221,AAPL250627P00130000,2025-06-17 15:47:00,130,0.01,0.00,0.00,0.00,0.00%,51.0,0.0,0.5,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
222,AAPL250627P00135000,2025-06-17 15:32:00,135,0.02,0.00,0.00,0.00,0.00%,121.0,0.0,0.5,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
223,AAPL250627P00140000,2025-06-17 13:27:00,140,0.01,0.00,0.00,0.00,0.00%,59.0,0.0,0.5,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
224,AAPL250627P00145000,2025-06-17 12:55:00,145,0.01,0.00,0.00,0.00,0.00%,2.0,0.0,0.5,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
225,AAPL250627P00150000,2025-06-17 13:21:00,150,0.02,0.00,0.00,0.00,0.00%,11.0,0.0,0.25,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
226,AAPL250627P00155000,2025-06-17 15:59:00,155,0.03,0.00,0.00,0.00,0.00%,20.0,0.0,0.25,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
227,AAPL250627P00160000,2025-06-17 15:24:00,160,0.06,0.00,0.00,0.00,0.00%,176.0,0.0,0.25,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
228,AAPL250627P00165000,2025-06-17 15:51:00,165,0.08,0.00,0.00,0.00,0.00%,166.0,0.0,0.25,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
229,AAPL250627P00170000,2025-06-17 15:59:00,170,0.15,0.00,0.00,0.00,0.00%,473.0,0.0,0.25,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
230,AAPL250627P00172500,2025-06-17 15:49:00,172.5,0.18,0.00,0.00,0.00,0.00%,,0.0,0.125,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
231,AAPL250627P00175000,2025-06-17 15:59:00,175,0.24,0.00,0.00,0.00,0.00%,446.0,0.0,0.125,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
232,AAPL250627P00177500,2025-06-17 15:59:00,177.5,0.31,0.00,0.00,0.00,0.00%,91.0,0.0,0.125,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
233,AAPL250627P00180000,2025-06-17 15:59:00,180,0.43,0.00,0.00,0.00,0.00%,1.076,0.0,0.125,"Jun 27, 2025",2025-06-27,put,9,2025-06-17,short
